case_id,scenario_category,scenario_summary,primary_persona_code,primary_persona_name,primary_priority,primary_failure_tendency,challenger_persona_code,challenger_persona_name,adversarial_pressure,challenger_argument,initial_recommended_action,initial_route,initial_decision_owner,initial_reasoning,initial_bias,governed_final_action,governed_final_route,governed_decision_owner,decision_changed,change_reason,required_evidence_pipe_delimited,message_facts_pipe_delimited,confidence_1_to_5,leader_response_first_person,simulated_handoff_target,economic_or_customer_tradeoff,control_applied,evidence_class,independence_status,timing_status,claim_boundary
SCC-01-HO2-011,risk-or-chargeback-stop,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; risk safety; policy result ESCALATE_SPECIALIST via specialist.,P-CUST,Customer Recovery Advocate,Restore customer clarity and momentum with the least avoidable friction.,May promise or remedy too early when empathy outruns evidence and authority.,P-RISK,Policy and Risk Owner,A frustrated customer needs a clear answer now; delay may create another contact.,"Policy and Risk Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",REFUND_MISSING,delegated,customer_recovery_specialist,A prompt refund is the cleanest way to reduce further customer harm.,customer-relief-over-safety-stop,ESCALATE_SPECIALIST,specialist,policy_and_risk_owner,true,Changed after the Policy and Risk Owner challenge exposed customer-relief-over-safety-stop; the frozen policy requires ESCALATE_SPECIALIST via specialist.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,I stop remedy selection before speed or empathy can override the safety signal. I route the EUR 20.00 case to policy_and_risk_owner and allow only supported under-review messaging.,policy_and_risk_owner,"Slower recovery is accepted to prevent unsafe, fraudulent, privacy-sensitive, or chargeback-conflicted action.","Risk-stop priority, least authority, and specialist ownership.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-012,risk-or-chargeback-stop,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; risk privacy; policy result ESCALATE_SPECIALIST via specialist.,P-OPS,Fulfilment Operations Coordinator,"Maintain case flow while reconciling OMS, WMS, carrier, and inventory evidence.",May optimise queue flow or stock availability before checking customer preference and authority.,P-RISK,Policy and Risk Owner,The exception queue is growing; another handoff threatens cycle time and rework.,"Policy and Risk Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",ESCALATE_SPECIALIST,specialist,policy_and_risk_owner,The Fulfilment Operations Coordinator lens identifies risk_stop:privacy and selects the policy route.,policy-aligned-persona-lens,ESCALATE_SPECIALIST,specialist,policy_and_risk_owner,false,Retained after the Policy and Risk Owner challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,4,I stop remedy selection before speed or empathy can override the privacy signal. I route the EUR 20.00 case to policy_and_risk_owner and allow only supported under-review messaging.,policy_and_risk_owner,"Slower recovery is accepted to prevent unsafe, fraudulent, privacy-sensitive, or chargeback-conflicted action.","Risk-stop priority, least authority, and specialist ownership.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-013,risk-or-chargeback-stop,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; risk suspected_fraud; policy result ESCALATE_SPECIALIST via specialist.,P-WORK,Workflow Owner,"Balance customer outcome, flow, unit economics, and explicit decision rights.",May let throughput or economics create a quiet policy override.,P-RISK,Policy and Risk Owner,The workflow must protect both customer value and sustainable unit economics.,"Policy and Risk Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",REFUND_MISSING,delegated,customer_recovery_specialist,Resolve the missing value now and investigate the fraud signal afterward.,commercial-recovery-over-fraud-stop,ESCALATE_SPECIALIST,specialist,policy_and_risk_owner,true,Changed after the Policy and Risk Owner challenge exposed commercial-recovery-over-fraud-stop; the frozen policy requires ESCALATE_SPECIALIST via specialist.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,I stop remedy selection before speed or empathy can override the suspected_fraud signal. I route the EUR 20.00 case to policy_and_risk_owner and allow only supported under-review messaging.,policy_and_risk_owner,"Slower recovery is accepted to prevent unsafe, fraudulent, privacy-sensitive, or chargeback-conflicted action.","Risk-stop priority, least authority, and specialist ownership.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-014,partial-fulfilment-with-stock,EUR 19.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; repeat recovery; policy result RESHIP_MISSING via approval.,P-TECH,Technical Reliability Owner,Prevent duplicate actions and distinguish recommendations from verified postconditions.,May trust a platform status label or over-focus on system state at the expense of the whole journey.,P-WORK,Workflow Owner,A misleading status or duplicate write could create an irreversible second remedy.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",RESHIP_MISSING,approval,workflow_owner,The Technical Reliability Owner lens identifies missing_quantity_confirmed and selects the policy route.,policy-aligned-persona-lens,RESHIP_MISSING,approval,workflow_owner,false,Retained after the Workflow Owner challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,5,"I select reship because replacement stock is reservable and the customer did not request a refund. I route the EUR 19.00 exposure to workflow_owner, with execution and reservation still requiring verification.",workflow_owner,Faster physical recovery consumes stock and requires verified reservation and delivery follow-through.,"Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-015,partial-fulfilment-refund,EUR 64.00 affected on EUR 150.00 order; carrier DELAYED; preference fastest_recovery; policy result REFUND_MISSING via approval.,P-RISK,Policy and Risk Owner,"Stop unsafe, fraudulent, privacy-sensitive, or chargeback-conflicted action.",May convert ordinary ambiguity into excessive specialist escalation.,P-WORK,Workflow Owner,A consequential action must remain stopped if the risk classification is unresolved.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",REFUND_MISSING,approval,workflow_owner,The Policy and Risk Owner lens identifies missing_quantity_confirmed and selects the policy route.,policy-aligned-persona-lens,REFUND_MISSING,approval,workflow_owner,false,Retained after the Workflow Owner challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,5,I select refund because replacement is unavailable or not the chosen recovery. I route the EUR 64.00 exposure to workflow_owner and state clearly that recommendation is not verified payment execution.,workflow_owner,"Cash is returned instead of consuming stock, but execution must be separately verified.","Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-016,partial-fulfilment-refund,EUR 100.01 affected on EUR 300.00 order; carrier DELAYED; preference fastest_recovery; policy result REFUND_MISSING via approval.,P-CUST,Customer Recovery Advocate,Restore customer clarity and momentum with the least avoidable friction.,May promise or remedy too early when empathy outruns evidence and authority.,P-WORK,Workflow Owner,A frustrated customer needs a clear answer now; delay may create another contact.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",REFUND_MISSING,delegated,customer_recovery_specialist,The remedy is obvious; asking finance will only prolong the recovery.,correct-remedy-wrong-authority,REFUND_MISSING,approval,finance_duty_approver,true,Changed after the Workflow Owner challenge exposed correct-remedy-wrong-authority; the frozen policy requires REFUND_MISSING via approval.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,3,I select refund because replacement is unavailable or not the chosen recovery. I route the EUR 100.01 exposure to finance_duty_approver and state clearly that recommendation is not verified payment execution.,finance_duty_approver,"Cash is returned instead of consuming stock, but execution must be separately verified.","Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-017,partial-fulfilment-with-stock,EUR 18.00 affected on EUR 520.00 order; carrier DELAYED; preference fastest_recovery; policy result RESHIP_MISSING via approval.,P-OPS,Fulfilment Operations Coordinator,"Maintain case flow while reconciling OMS, WMS, carrier, and inventory evidence.",May optimise queue flow or stock availability before checking customer preference and authority.,P-WORK,Workflow Owner,The exception queue is growing; another handoff threatens cycle time and rework.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",RESHIP_MISSING,delegated,customer_recovery_specialist,"The missing item is low value and stock exists, so the frontline can reship.",item-value-tunnel-vision,RESHIP_MISSING,approval,finance_duty_approver,true,Changed after the Workflow Owner challenge exposed item-value-tunnel-vision; the frozen policy requires RESHIP_MISSING via approval.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,3,"I select reship because replacement stock is reservable and the customer did not request a refund. I route the EUR 18.00 exposure to finance_duty_approver, with execution and reservation still requiring verification.",finance_duty_approver,Faster physical recovery consumes stock and requires verified reservation and delivery follow-through.,"Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-018,delayed-with-customer-wait-preference,EUR 21.00 affected on EUR 80.00 order; carrier IN_TRANSIT; preference wait; policy result WAIT_VERIFIED_ETA via delegated.,P-WORK,Workflow Owner,"Balance customer outcome, flow, unit economics, and explicit decision rights.",May let throughput or economics create a quiet policy override.,P-CUST,Customer Recovery Advocate,The workflow must protect both customer value and sustainable unit economics.,"Customer Recovery Advocate tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",WAIT_VERIFIED_ETA,delegated,customer_recovery_specialist,The Workflow Owner lens identifies customer_prefers_wait and selects the policy route.,policy-aligned-persona-lens,WAIT_VERIFIED_ETA,delegated,customer_recovery_specialist,false,Retained after the Customer Recovery Advocate challenge confirmed the first decision against the frozen policy.,CARRIER|OMS|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|revised_eta_is_estimate,5,I respect the customer's preference to wait because the parcel is in transit with a reliable revised ETA. I communicate that the ETA remains an estimate and create no irreversible remedy.,customer_recovery_specialist,Customer choice is preserved without converting an estimated arrival into a verified outcome.,"Customer preference, reliable ETA evidence, and estimate-not-outcome messaging.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-019,unresolved-action-state,EUR 23.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; prior REFUND_MISSING is VERIFIED; policy result ESCALATE_ACTION_RECOVERY via specialist.,P-TECH,Technical Reliability Owner,Prevent duplicate actions and distinguish recommendations from verified postconditions.,May trust a platform status label or over-focus on system state at the expense of the whole journey.,P-WORK,Workflow Owner,A misleading status or duplicate write could create an irreversible second remedy.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",NO_ACTION_ALREADY_RECOVERED,delegated,customer_recovery_specialist,The prior refund says VERIFIED; close the case without another action.,status-label-trust,ESCALATE_ACTION_RECOVERY,specialist,technical_owner,true,Changed after the Workflow Owner challenge exposed status-label-trust; the frozen policy requires ESCALATE_ACTION_RECOVERY via specialist.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,"I separate a status label from proven execution. The prior action is VERIFIED, so I route to technical_owner for action recovery instead of creating a second remedy.",technical_owner,Extra investigation is accepted to avoid a duplicate refund or replacement.,"Action-state recovery, authoritative postcondition, and duplicate-action prevention.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-020,duplicate-signal-control,EUR 20.00 affected on EUR 80.00 order; carrier IN_TRANSIT; preference wait; duplicate trigger; policy result NO_ACTION_DUPLICATE_SIGNAL via delegated.,P-RISK,Policy and Risk Owner,"Stop unsafe, fraudulent, privacy-sensitive, or chargeback-conflicted action.",May convert ordinary ambiguity into excessive specialist escalation.,P-WORK,Workflow Owner,A consequential action must remain stopped if the risk classification is unresolved.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",ESCALATE_SPECIALIST,specialist,policy_and_risk_owner,A repeated signal may hide abuse; let a specialist investigate it.,duplicate-signal-overreaction,NO_ACTION_DUPLICATE_SIGNAL,delegated,customer_recovery_specialist,true,Changed after the Workflow Owner challenge exposed duplicate-signal-overreaction; the frozen policy requires NO_ACTION_DUPLICATE_SIGNAL via delegated.,CARRIER|CRM|OMS|PAYMENT|POLICY|WMS,case_received|no_new_action_created|order_reference_confirmed|recovery_under_review,3,I apply the duplicate-signal rule after confirming no higher-priority action-state issue exists. I create no new recovery and keep the case delegated with supported no-action messaging.,customer_recovery_specialist,Unnecessary work and duplicate cost are avoided without hiding that no new action was created.,Duplicate-action prevention and supported no-new-action communication.,ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
